"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001525","angiogenesis","81/1028","474/14695",0.170886075949367,2.44277323548244,8.75693563813645,3.36164602858528e-14,1.84823298651619e-10,1.84823298651619e-10,"EMP2/GRN/EMILIN1/NINJ1/STAB2/FBN1/KDR/PARVA/SPARC/IGFBP7/HSPB1/ROBO4/PLK2/ENG/JAG1/ITGAV/PLXND1/BSG/BMPER/EHD4/MMP2/TNF/TIE1/FLT4/ENPEP/PDGFRB/MCAM/VEGFC/ACVRL1/CCL2/THY1/GPNMB/NRP2/CALCRL/ITGA2B/COL4A2/NOTCH3/PXDN/TEK/TGM2/JCAD/C5AR1/CSPG4/MMRN1/TJP1/MMP14/COL4A3/PTGS2/EPAS1/CD34/MFGE8/SHB/TYMP/ADAMTS9/JUP/AQP1/C3/ECSCR/RSPO3/HSPG2/RASA1/PRCP/COL15A1/MIRLET7A1/VAV2/CDH5/ITGB3/MEOX2/ANXA2/BCAM/APLNR/HMOX1/FBLN5/MYH9/CXCL10/ARHGAP24/COL4A1/FN1/PKM/PTGIS/IL1B",81
"GO:0030335","positive regulation of cell migration","82/1028","491/14695",0.167006109979633,2.38731010325945,8.57509502168995,8.55176578653168e-14,2.35088041471756e-10,2.35088041471756e-10,"LGALS3/CCR6/GRN/ATP8A1/ICAM1/KDR/CCL19/SPARC/SOD2/SEMA3D/PLVAP/CXCR4/CALR/CCL21/LAMC2/HSPB1/CMKLR1/RHOC/PLK2/CCL23/COL1A1/ITGAV/RELN/FGFR1/CAV1/BSG/FERMT2/MMP2/CSF1R/TNF/APP/FLT4/HSPA5/PDGFRB/MCAM/VEGFC/CCL2/THY1/GPNMB/MYO1C/PDPN/NRP2/ITGA2B/ENPP2/TEK/ATM/SEMA3A/JCAD/PLAU/CAPN7/DNM1L/C5AR1/LGMN/PTN/EPB41L4B/TJP1/MMP14/LEF1/PTGS2/ACTN4/CCL14/DDR2/STX4/MAZ/PLA2G7/RARRES2/MMP9/SEMA7A/ITGA2/CD151/CDH5/ITGB3/S100A11/FLNA/HMOX1/PODXL/CSF1/CXCL10/LRRC15/FN1/STAT5A/IL1B",82
"GO:0030198","extracellular matrix organization","52/1028","248/14695",0.209677419354839,2.9972856784235,8.69975795429369,5.30711820584771e-13,8.12749362005693e-10,8.12749362005693e-10,"LRP1/MATN2/EMILIN1/FBN1/COL5A1/ADAMTS2/PLOD2/LAMC1/GPM6B/SLC2A10/TPSAB1/COL9A1/ENG/PLOD1/MYH11/COL1A1/COL14A1/COL9A3/CTSK/MMP2/TIE1/APP/COL3A1/LAMB2/PDPN/MMP15/COL4A2/PXDN/LOXL1/TGM2/PLAU/SERPINH1/MFAP4/FMOD/MMP14/COL4A3/MANSC4/DDR2/ELN/MMP9/MARCO/PLOD3/ADAMTS9/COL5A2/ADAMTS4/PLAUR/ITGA2/COL1A2/COL15A1/FBLN5/NID1/COL4A1",52
"GO:0043062","extracellular structure organization","52/1028","249/14695",0.208835341365462,2.98524838654228,8.66504251444864,6.26642461114884e-13,8.12749362005693e-10,8.12749362005693e-10,"LRP1/MATN2/EMILIN1/FBN1/COL5A1/ADAMTS2/PLOD2/LAMC1/GPM6B/SLC2A10/TPSAB1/COL9A1/ENG/PLOD1/MYH11/COL1A1/COL14A1/COL9A3/CTSK/MMP2/TIE1/APP/COL3A1/LAMB2/PDPN/MMP15/COL4A2/PXDN/LOXL1/TGM2/PLAU/SERPINH1/MFAP4/FMOD/MMP14/COL4A3/MANSC4/DDR2/ELN/MMP9/MARCO/PLOD3/ADAMTS9/COL5A2/ADAMTS4/PLAUR/ITGA2/COL1A2/COL15A1/FBLN5/NID1/COL4A1",52
"GO:0045229","external encapsulating structure organization","52/1028","250/14695",0.208,2.97330739299611,8.630499904649,7.39131831580296e-13,8.12749362005693e-10,8.12749362005693e-10,"LRP1/MATN2/EMILIN1/FBN1/COL5A1/ADAMTS2/PLOD2/LAMC1/GPM6B/SLC2A10/TPSAB1/COL9A1/ENG/PLOD1/MYH11/COL1A1/COL14A1/COL9A3/CTSK/MMP2/TIE1/APP/COL3A1/LAMB2/PDPN/MMP15/COL4A2/PXDN/LOXL1/TGM2/PLAU/SERPINH1/MFAP4/FMOD/MMP14/COL4A3/MANSC4/DDR2/ELN/MMP9/MARCO/PLOD3/ADAMTS9/COL5A2/ADAMTS4/PLAUR/ITGA2/COL1A2/COL15A1/FBLN5/NID1/COL4A1",52
"GO:0006935","chemotaxis","62/1028","373/14695",0.166219839142091,2.37607056049906,7.38283670612953,1.2481193590719e-10,9.80308605168188e-08,9.80308605168188e-08,"RAB13/VCAM1/LGALS3/CCR6/EFNA5/NINJ1/KDR/CCL19/PARVA/GSTP1/CTTN/SEMA3D/CXCR4/CALR/CCL21/HSPB1/CMKLR1/TNFSF11/CCL23/ENG/TUBB2B/ITGAV/FGFR1/BSG/MMP2/CSF1R/APP/PDGFRB/SAA1/VEGFC/CCL2/CXCL11/GPNMB/CXCL3/L1CAM/CXCL9/ENPP2/SEMA3A/PLAU/ANOS1/DNM1L/C5AR1/LGMN/PTN/PPBP/LEF1/CCL14/NOVA2/STX4/S100A4/PLA2G7/RARRES2/TYMP/SEMA7A/C3/ECSCR/PLAUR/ITGA2/ITGB3/PPIB/CSF1/CXCL10",62
"GO:0042330","taxis","62/1028","373/14695",0.166219839142091,2.37607056049906,7.38283670612953,1.2481193590719e-10,9.80308605168188e-08,9.80308605168188e-08,"RAB13/VCAM1/LGALS3/CCR6/EFNA5/NINJ1/KDR/CCL19/PARVA/GSTP1/CTTN/SEMA3D/CXCR4/CALR/CCL21/HSPB1/CMKLR1/TNFSF11/CCL23/ENG/TUBB2B/ITGAV/FGFR1/BSG/MMP2/CSF1R/APP/PDGFRB/SAA1/VEGFC/CCL2/CXCL11/GPNMB/CXCL3/L1CAM/CXCL9/ENPP2/SEMA3A/PLAU/ANOS1/DNM1L/C5AR1/LGMN/PTN/PPBP/LEF1/CCL14/NOVA2/STX4/S100A4/PLA2G7/RARRES2/TYMP/SEMA7A/C3/ECSCR/PLAUR/ITGA2/ITGB3/PPIB/CSF1/CXCL10",62
"GO:0031589","cell-substrate adhesion","54/1028","311/14695",0.173633440514469,2.48204611708184,7.24489428973812,3.91592724835762e-10,2.69122100143378e-07,2.69122100143378e-07,"VCAM1/ITGAM/EMP2/EFNA5/EMILIN1/KDR/LAMB3/PARVA/ANTXR1/LAMC1/CTTN/GPM6B/ITGB4/CALR/CCL21/ITGB7/JAG1/ITGAV/ATP1B2/FERMT2/CFL1/CD96/COL3A1/LAMB2/ACVRL1/VWF/THY1/PDPN/ITGA3/SDC4/ITGA2B/L1CAM/TEK/PLAU/CD63/MMP14/LEF1/ACTN4/CD34/ADAMTS9/JUP/PLAUR/ITGA2/RASA1/ITGB3/TLN1/MICALL2/BCAM/FLNA/FBLN5/CSF1/ACTN1/NID1/FN1",54
"GO:0007160","cell-matrix adhesion","42/1028","217/14695",0.193548387096774,2.76672524162169,7.19075633575469,1.26475804524149e-09,7.72626636970859e-07,7.72626636970859e-07,"VCAM1/ITGAM/EMP2/EFNA5/EMILIN1/KDR/CTTN/GPM6B/ITGB4/CCL21/ITGB7/JAG1/ITGAV/FERMT2/CFL1/CD96/COL3A1/ACVRL1/THY1/ITGA3/SDC4/ITGA2B/L1CAM/TEK/PLAU/CD63/MMP14/LEF1/CD34/ADAMTS9/JUP/PLAUR/ITGA2/RASA1/ITGB3/TLN1/BCAM/FBLN5/CSF1/ACTN1/NID1/FN1",42
"GO:0007229","integrin-mediated signaling pathway","27/1028","106/14695",0.254716981132075,3.64111482270024,7.48440759776123,2.56865873152622e-09,1.41224857059312e-06,1.41224857059312e-06,"ITGAM/EMP2/CD40LG/LAMC1/ITGB4/SLC2A10/ITGB7/ITGAV/FERMT2/COL3A1/LAMB2/THY1/ITGA3/ITGA2B/PLAU/CD63/PTN/PLEK/SEMA7A/ITGA2/ITGB3/TLN1/FLNA/NID1/MYH9/TIMP1/FN1",27
