"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,1.69468419977157e-27,1512,1028,183,0.178015564202335,0.121031746031746,"GO:0007155","GO:BP","cell adhesion",20972,2585,"GO:0009987"
"query_1",TRUE,7.7909131731669e-27,298,664,78,0.117469879518072,0.261744966442953,"REAC:R-HSA-1474244","REAC","Extracellular matrix organization",11056,930,"REAC:0000000"
"query_1",TRUE,2.91064972647902e-24,1532,1028,177,0.172178988326848,0.115535248041775,"GO:0016477","GO:BP","cell migration",20972,4977,"GO:0048870"
"query_1",TRUE,5.73287548750258e-21,727,1028,106,0.103112840466926,0.145804676753783,"GO:0001568","GO:BP","blood vessel development",20972,341,"GO:0001944,GO:0048856"
"query_1",TRUE,8.10624800685553e-21,1794,1028,187,0.181906614785992,0.104236343366778,"GO:0048870","GO:BP","cell motility",20972,12260,"GO:0009987"
"query_1",TRUE,8.10624800685553e-21,758,1028,108,0.105058365758755,0.142480211081794,"GO:0001944","GO:BP","vasculature development",20972,542,"GO:0048731,GO:0072359"
"query_1",TRUE,1.01376578979354e-20,1236,1028,146,0.142023346303502,0.118122977346278,"GO:0040011","GO:BP","locomotion",20972,9265,"GO:0008150"
"query_1",TRUE,2.0321041158482e-20,2699,1028,246,0.239299610894942,0.0911448684698036,"GO:0009653","GO:BP","anatomical structure morphogenesis",20972,3414,"GO:0032502,GO:0048856"
"query_1",TRUE,6.98534175475321e-20,544,1028,87,0.0846303501945525,0.159926470588235,"GO:0030335","GO:BP","positive regulation of cell migration",20972,6340,"GO:0016477,GO:0030334,GO:2000147"
"query_1",TRUE,7.11334276076749e-20,9051,1028,596,0.579766536964981,0.0658490774500055,"GO:0050896","GO:BP","response to stimulus",20972,12476,"GO:0008150"
"query_1",TRUE,7.11334276076749e-20,944,1028,121,0.117704280155642,0.128177966101695,"GO:0030334","GO:BP","regulation of cell migration",20972,6339,"GO:0016477,GO:2000145"
"query_1",TRUE,9.73301682554453e-20,571,1028,89,0.0865758754863813,0.155866900175131,"GO:2000147","GO:BP","positive regulation of cell motility",20972,23636,"GO:0040017,GO:0048522,GO:0048870,GO:2000145"
"query_1",TRUE,4.4405837364398e-19,1135,1028,134,0.130350194552529,0.118061674008811,"GO:0072359","GO:BP","circulatory system development",20972,16197,"GO:0048731"
"query_1",TRUE,4.4405837364398e-19,1005,1028,124,0.120622568093385,0.123383084577114,"GO:2000145","GO:BP","regulation of cell motility",20972,23634,"GO:0040012,GO:0048870,GO:0050794"
