"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","42/585","148/7091",0.283783783783784,3.43984753984754,8.99422992288501,2.95936175652414e-13,1.0416953382965e-10,1.0416953382965e-10,"7412/3684/2200/3383/3791/3914/55742/3915/3691/3918/1297/3695/1277/3685/5649/3371/1299/10979/1291/1292/2324/5159/3913/7424/7450/3675/3674/1284/1285/81/3910/894/718/3673/1278/1293/3690/7094/2316/87/1282/2335",42
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","30/585","84/7091",0.357142857142857,4.32905982905983,9.20320732526531,1.16811685943981e-12,2.05588567261407e-10,2.05588567261407e-10,"3914/3915/3691/3918/1297/3695/1277/3685/5649/3371/1299/1291/1292/3913/7450/3675/6385/3674/1284/2811/1285/3910/9899/3673/3339/1278/1293/3690/1282/2335",30
"Genetic Information Processing","Translation","hsa00970","Aminoacyl-tRNA biosynthesis","21/585","45/7091",0.466666666666667,5.65663817663818,9.39618270667651,7.11552851566042e-12,8.34888679170823e-10,8.34888679170823e-10,"4576/4577/4574/4579/4555/51067/4564/4575/4565/4558/4556/4568/4569/4567/4573/4571/4563/4570/55278/4572/4511",21
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","46/585","213/7091",0.215962441314554,2.61776012198547,7.18814555893775,6.70272821650747e-10,5.89840083052657e-08,5.89840083052657e-08,"2318/478/2200/1289/10398/3691/9172/1297/3695/4629/1277/3685/1299/482/7431/1291/114793/1292/1281/72/3675/6385/9672/4000/3674/1284/9260/1465/9499/1285/2006/633/1824/1290/3728/3673/3339/1278/7171/1293/3690/7094/4811/4627/1282/2335",46
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","27/585","92/7091",0.293478260869565,3.55735785953177,7.40306295526569,2.5392987560739e-09,1.78766632427603e-07,1.78766632427603e-07,"3684/3914/3554/5878/3915/3918/3315/4843/5331/1277/7124/1281/3913/2921/1284/383/1285/81/3910/1278/5566/929/87/5052/1282/2335/3553",27
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","42/585","196/7091",0.214285714285714,2.5974358974359,6.80030452336875,4.90365617625541e-09,2.87681162340318e-07,2.87681162340318e-07,"2013/3791/10398/3914/55742/3915/3691/3918/1297/3695/1277/3685/5649/3371/857/1299/858/1291/1292/2324/5159/3913/7424/7450/3675/3674/1284/1285/81/3910/894/3673/1278/1293/7410/3725/3690/7094/2316/87/1282/2335",42
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","18/585","49/7091",0.36734693877551,4.45274725274725,7.27208320298889,2.46590965945733e-08,1.24000028589855e-06,1.24000028589855e-06,"940/959/3127/3111/721/2209/7124/720/715/730/81/717/3123/716/718/6737/87/3115",18
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","21/585","66/7091",0.318181818181818,3.85679875679876,6.99153398157749,3.19394181176657e-08,1.40533439717729e-06,1.40533439717729e-06,"3824/3127/3111/811/1508/8302/1514/7124/3133/3309/3303/3823/5641/3306/3105/10437/3123/3821/3106/3822/3115",21
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","23/585","87/7091",0.264367816091954,3.20449945967187,6.20355412142788,3.24087844396136e-07,1.26754356919378e-05,1.26754356919378e-05,"478/1289/3769/1297/9056/1277/7373/1299/482/1291/1292/1281/1284/1285/2006/1290/3783/1278/5547/1306/1293/1359/1282",23
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","18/585","58/7091",0.310344827586207,3.76180371352785,6.33257757208205,4.73326984642412e-07,1.66611098594129e-05,1.66611098594129e-05,"3684/3383/2204/3127/3111/721/2209/720/728/715/3875/717/3123/716/718/3426/10747/3115",18
